time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-12-29T15:20:58.230Z,-9.2394,108.8429,35.65,4.7,mb,,90,2.121,0.95,us,us10004a8z,2016-03-18T01:13:06.040Z,"183 km SSW of Kroya, Indonesia",earthquake,5.2,6.4,0.094,34,reviewed,us,us
2015-12-29T12:19:41.040Z,-9.2315,108.8631,35.22,4.6,mb,,79,2.1,1.01,us,us10004a8h,2016-03-18T01:13:06.040Z,"181 km SSW of Kroya, Indonesia",earthquake,7.6,6.3,0.103,28,reviewed,us,us
2015-12-19T17:05:28.040Z,-9.1292,109.8631,50.39,4.6,mb,,89,1.373,1.39,us,us100048v4,2016-03-12T02:29:17.040Z,"138 km SSW of Bambanglipuro, Indonesia",earthquake,6.3,5.8,0.193,9,reviewed,us,us
2015-12-19T15:03:36.010Z,-8.3684,107.0225,27,5.7,mww,,87,2.496,1.4,us,us100048d4,2022-08-02T00:08:58.346Z,"137 km SSW of Banjar, Indonesia",earthquake,6.7,1.8,,,reviewed,us,us
2015-10-30T10:12:38.860Z,-8.4379,107.4207,16.44,4.6,mb,,91,0.959,0.64,us,us200041ka,2016-01-30T02:10:56.040Z,"137 km S of Banjar, Indonesia",earthquake,4.3,4.6,0.105,27,reviewed,us,us
2015-10-29T10:20:29.010Z,-8.5638,109.776,74.91,4.7,mb,,48,0.982,1.35,us,us200040e3,2022-08-01T14:34:24.704Z,"86 km SW of Srandakan, Indonesia",earthquake,4.6,5.1,0.087,40,reviewed,us,us
2015-10-28T05:15:09.240Z,-8.4165,109.3926,75.82,4,mb,,59,1.226,1.41,us,us200040t0,2016-01-22T23:41:21.040Z,"88 km S of Kroya, Indonesia",earthquake,5.1,9.3,0.173,11,reviewed,us,us
2015-10-10T09:04:01.020Z,-8.0486,107.4009,35,5.2,mb,,35,2.969,1.13,us,us10003mnt,2022-08-01T10:23:36.024Z,"94 km S of Banjar, Indonesia",earthquake,7.4,1.9,0.057,100,reviewed,us,us
2015-09-28T14:10:08.230Z,-8.348,107.2407,35,4.4,mb,,102,0.971,0.94,us,us20003pnn,2015-12-28T23:08:47.040Z,"129 km S of Banjar, Indonesia",earthquake,4.1,2,0.106,26,reviewed,us,us
2015-09-27T07:04:56.350Z,-9.7707,107.9572,10,4.5,mb,,83,2.205,0.69,us,us20003ph4,2015-12-28T23:08:44.040Z,"265 km S of Kawalu, Indonesia",earthquake,6.9,1.9,0.099,30,reviewed,us,us
2015-09-09T04:22:37.560Z,-8.0826,107.2662,40.52,4.5,mb,,104,0.755,0.59,us,us20003hi1,2015-12-05T01:40:38.040Z,"99 km S of Banjar, Indonesia",earthquake,7.7,3.6,0.135,16,reviewed,us,us
2015-09-04T20:08:31.580Z,-8.043,107.2248,37,5.4,mww,,50,0.759,1.63,us,us20003ghh,2022-08-01T03:36:01.658Z,"96 km SSW of Banjar, Indonesia",earthquake,5.6,1.8,,,reviewed,us,us
